# Wavelength 	i 	a_i 	b_i 	c_i
2945 	1 	0.237599 	1.283664 	-0.492275
2945 	2 	0.018249 	-2.537098 	-0.280238
2945 	3 	-0.074595 	-0.100902 	-0.275109
2945 	4 	-0.034749 	-0.129213 	-0.575391
2945 	5 	-0.012696 	0.187311 	-0.703736
2945 	6 	0.000781 	3.290271 	-3.038961
2945 	7 	-0.000120 	7.670289 	-0.484230
2945 	8 	-0.000038 	-5.633697 	0.244857
2945 	9 	-0.000010 	5.791438 	-0.890583
3188 	1 	0.728281 	0.981482 	-1.474760
3188 	2 	0.003620 	-2.737075 	0.014362
3188 	3 	-0.050690 	0.501912 	-0.272824
3188 	4 	-0.005385 	4.458482 	0.095771
3188 	5 	0.003062 	-1.251756 	0.159231
3188 	6 	-0.000188 	3.382599 	-1.159856
3188 	7 	-0.000077 	3.574946 	-0.579868
3188 	8 	-0.000055 	0.044420 	-0.322935
3188 	9 	-0.000002 	5.191432 	-1.828550
3614 	1 	0.376504 	1.443660 	-0.852351
3614 	2 	0.014185 	-2.418831 	-0.167465
3614 	3 	-0.072682 	0.327648 	-0.180120
3614 	4 	-0.017533 	0.670556 	-0.492422
3614 	5 	-0.010484 	0.418788 	-0.789364
3614 	6 	0.001705 	-2.704035 	-0.622900
3614 	7 	-0.000176 	7.902544 	0.151241
3614 	8 	0.000064 	6.131473 	3.450867
3614 	9 	-0.000037 	5.368607 	-5.579913
3889 	1 	2.256542 	0.511307 	-1.742707
3889 	2 	-0.034717 	2.949781 	1.041676
3889 	3 	0.010993 	-2.484143 	-0.173011
3889 	4 	-0.045348 	0.647284 	-0.155018
3889 	5 	0.002098 	-1.517937 	0.058988
3889 	6 	0.000026 	-2.918819 	-0.503535
3889 	7 	-0.000005 	2.675449 	0.913041
3889 	8 	0.000002 	8.872791 	0.077254
3889 	9 	-0.000001 	-8.450243 	-1.355353
3965 	1 	0.456770 	1.654674 	-1.158531
3965 	2 	0.015196 	-2.045893 	-0.252967
3965 	3 	-0.067550 	0.652662 	-0.248281
3965 	4 	-0.007843 	4.496742 	-0.262929
3965 	5 	-0.000781 	4.890201 	1.464717
3965 	6 	0.002827 	-1.450538 	-0.069850
3965 	7 	0.001110 	-2.004124 	-0.325267
3965 	8 	0.000194 	-2.716613 	-0.724557
3965 	9 	-0.000004 	4.371841 	0.663073
4026 	1 	0.185064 	1.943657 	-0.648145
4026 	2 	0.008751 	-2.724192 	-0.097890
4026 	3 	-0.045073 	0.510649 	-0.102190
4026 	4 	-0.008680 	0.471088 	-0.270234
4026 	5 	-0.002879 	0.286899 	-0.525890
4026 	6 	-0.000016 	-11.687314 	-0.818941
4026 	7 	-0.000117 	7.491152 	1.297731
4026 	8 	-0.000010 	6.109163 	0.682963
4026 	9 	0.000002 	-3.088925 	0.277057
4121 	1 	12.796716 	-0.490913 	-3.214825
4121 	2 	-0.512153 	1.066279 	-0.652840
4121 	3 	0.057334 	-1.384667 	-0.408928
4121 	4 	0.013453 	-3.178046 	-0.847815
4121 	5 	-0.003661 	-2.663920 	0.154191
4121 	6 	0.000411 	-1.371718 	0.083031
4121 	7 	0.000241 	-2.062889 	-0.282061
4121 	8 	0.000176 	-1.443159 	0.046880
4121 	9 	0.000126 	-0.715603 	0.040848
4388 	1 	0.592415 	1.479889 	-1.575477
4388 	2 	0.009681 	-2.014916 	-0.241845
4388 	3 	-0.048354 	0.783922 	-0.135038
4388 	4 	-0.012120 	0.153999 	-0.391060
4388 	5 	0.004329 	-2.227663 	-0.307074
4388 	6 	0.003904 	-2.413184 	-0.373145
4388 	7 	-0.000044 	7.482763 	5.477369
4388 	8 	0.002504 	-1.897203 	-0.129707
4388 	9 	0.000659 	-2.299944 	-0.179990
4471 	1 	2.074758 	0.871883 	-2.773291
4471 	2 	0.000427 	-2.791796 	-0.254427
4471 	3 	-0.038291 	2.548854 	0.190174
4471 	4 	0.001975 	-2.134139 	0.291631
4471 	5 	-0.006131 	3.477982 	0.217477
4471 	6 	0.000150 	1.070168 	-0.221179
4471 	7 	-0.000673 	0.587419 	0.291429
4471 	8 	-0.000052 	-2.436785 	-0.073254
4471 	9 	0.000008 	2.435703 	-0.125751
4713 	1 	3.052470 	0.998766 	-1.464257
4713 	2 	-0.128327 	2.958524 	0.620627
4713 	3 	-0.001934 	3.647304 	2.052811
4713 	4 	0.003193 	-3.733573 	0.215077
4713 	5 	-0.049904 	0.299277 	-0.126395
